"developer","provider_type","program_year","tot_provs_report_developer","tot_provs_report_2015_edition","tot_provs_report_2014_edition","tot_provs_report_2011_edition","product_type"
"ODOS Industries, Inc.","professional",2013,62,0,0,62,"Commercial"
"OEMR","professional",2013,181,0,0,181,"Commercial"
"Office Ally, Inc.","professional",2013,507,0,14,493,"Commercial"
"OIS","professional",2013,7,0,0,7,"Commercial"
"Omedix, Inc.","professional",2013,6,0,0,6,"Commercial"
"One Healthcare Solution, Inc.","professional",2013,49,0,0,49,"Commercial"
"Open Software Solutions, LLC","professional",2013,3,0,0,3,"Commercial"
"OptumInsight","professional",2013,415,0,0,415,"Commercial"
"Origin Healthcare Solutions","professional",2013,177,0,0,177,"Commercial"
"Orion Health","professional",2013,195,0,0,195,"Commercial"
"OT EMR, Inc.","professional",2013,22,0,0,22,"Commercial"
"Oxbow Intellectual Property, LLC","professional",2013,5,0,0,5,"Commercial"
"Pacific Medical Communications, Inc.","professional",2013,20,0,0,20,"Commercial"
"PAL/MED Development, LLC","professional",2013,3,0,0,3,"Commercial"
"Paramount Health Solutions LLC","professional",2013,3,0,0,3,"Commercial"
"Partners Healthcare System","professional",2013,2751,0,1,2750,"Self-developed"
"Patagonia Health","professional",2013,8,0,0,8,"Commercial"
"Patient First","professional",2013,182,0,0,182,"Self-developed"
"PatientClick, Inc.","professional",2013,6,0,0,6,"Commercial"
"patientNOW","professional",2013,63,0,0,63,"Commercial"
"Patterson Dental Supply, Inc.","professional",2013,1,0,0,1,"Commercial"
"PBO Corporation","professional",2013,43,0,0,43,"Commercial"
"PBSI - Positive Business Solutions, Inc.","professional",2013,80,0,0,80,"Commercial"
"PCIS GOLD","professional",2013,31,0,0,31,"Commercial"
"Penn Medical Informatics Systems, Inc.","professional",2013,148,0,0,148,"Commercial"
"Phoenix Ortho, LLC","professional",2013,356,0,1,355,"Commercial"
"Phyaura, LLC","professional",2013,4,0,0,4,"Commercial"
"Physician's Computer Company","professional",2013,1,0,0,1,"Commercial"
"Physician Software Solutions","professional",2013,3,0,0,3,"Self-developed"
"Phytel, Inc.","professional",2013,1,0,0,1,"Commercial"
"Picis","professional",2013,1,0,0,1,"Commercial"
"Pinnacle Management Group, INC","professional",2013,134,0,0,134,"Commercial"
"Platinum System C.R. Corp","professional",2013,6,0,0,6,"Commercial"
"PlatinumMD","professional",2013,57,0,0,57,"Commercial"
"Plexus Information Systems, Inc.","professional",2013,32,0,0,32,"Commercial"
"Point and Click Solutions, Inc.","professional",2013,27,0,0,27,"Commercial"
"Polaris Management, Inc.","professional",2013,52,0,0,52,"Commercial"
"Practice Director","professional",2013,40,0,0,40,"Commercial"
"Practice Fusion","professional",2013,7570,0,66,7504,"Commercial"
"Practice Today","professional",2013,4,0,0,4,"Commercial"
"Practice Velocity, LLC","professional",2013,116,0,0,116,"Commercial"
"PracticeSuite, Inc.","professional",2013,2,0,0,2,"Commercial"
"Prematics","professional",2013,1,0,0,1,"Commercial"
"Prime Clinical Systems, Inc.","professional",2013,518,0,0,518,"Commercial"
"PriMedx Solutions, LLC","professional",2013,4,0,0,4,"Commercial"
"PrimeSource Healthcare Systems, Inc.","professional",2013,39,0,0,39,"Commercial"
"Prognosis Innovation Healthcare","professional",2013,1,0,0,1,"Commercial"
"ProNex Inc.","professional",2013,9,0,0,9,"Commercial"
"ProVation Medical","professional",2013,3,0,0,3,"Commercial"
"Pulse Systems, Inc","professional",2013,357,0,3,354,"Commercial"
"QRS, Inc.","professional",2013,91,0,1,90,"Commercial"
"Qualifacts Systems, Inc.","professional",2013,4,0,0,4,"Commercial"
"Quest Diagnostics Incorporated","professional",2013,3,0,0,3,"Commercial"
"QuikEyes","professional",2013,33,0,0,33,"Commercial"
"Qvera LLC","professional",2013,135,0,0,135,"Commercial"
"Rabbit Healthcare Systems","professional",2013,53,0,0,53,"Commercial"
"Radysans, Inc","professional",2013,13,0,0,13,"Commercial"
"Raintree Systems, Inc.","professional",2013,71,0,0,71,"Commercial"
"Ramsoft, Inc.","professional",2013,116,0,0,116,"Commercial"
"RazorInsights, LLC","professional",2013,4,0,0,4,"Commercial"
"ReLi Med Solutions","professional",2013,5,0,0,5,"Commercial"
"Rheumatology and Dermatology Associates PC","professional",2013,9,0,0,9,"Self-developed"
"RT-MediBus Technologies Private Limited","professional",2013,2,0,0,2,"Commercial"
"RTZ Associates, Inc.","professional",2013,1,0,0,1,"Commercial"
"Sage","professional",2013,1506,0,0,1506,"Commercial"
"Sajix Inc.","professional",2013,2,0,0,2,"Commercial"
"Sammy Systems","professional",2013,598,0,0,598,"Commercial"
"San Diego Hospitalist Physician Corp","professional",2013,49,0,0,49,"Self-developed"
"SCC Soft Computer","professional",2013,7,0,0,7,"Commercial"
"ScriptRx, Inc.","professional",2013,3,0,0,3,"Commercial"
"Sectra North America, Inc.","professional",2013,34,0,0,34,"Commercial"
"Sequel Systems, Inc.","professional",2013,89,0,0,89,"Commercial"
"Sevocity a division of Conceptual MindWorks, Inc","professional",2013,216,0,5,211,"Commercial"
"Shareable Ink","professional",2013,324,0,0,324,"Commercial"
"Sharp HealthCare","professional",2013,317,0,0,317,"Self-developed"
"Siemens Medical Solutions USA, Inc.","professional",2013,11,0,0,11,"Commercial"
"Sigmund Software","professional",2013,4,0,0,4,"Commercial"
"SilkOne","professional",2013,29,0,0,29,"Commercial"
"simplifyMD, Inc","professional",2013,174,0,0,174,"Commercial"
"Sindhu Synergy, LTD","professional",2013,1,0,0,1,"Commercial"
"SMARTMD Corporation","professional",2013,13,0,0,13,"Commercial"
"SMB Medical Billing","professional",2013,10,0,0,10,"Commercial"
"SOAPware, Inc.","professional",2013,746,0,0,746,"Commercial"
"Socrates Healthcare Informatics","professional",2013,2,0,0,2,"Commercial"
"Software Solutions Group, Inc","professional",2013,23,0,0,23,"Commercial"
"Software Unlimited Inc.","professional",2013,5,0,0,5,"Commercial"
"Softworx Solutions, Inc.","professional",2013,80,0,0,80,"Commercial"
"Soren Technology","professional",2013,8,0,0,8,"Commercial"
"Spring Medical Systems","professional",2013,177,0,0,177,"Commercial"
"SRSsoft","professional",2013,2729,0,6,2723,"Commercial"
"STI Computer Services, Inc.","professional",2013,964,0,0,964,"Commercial"
"StreamlineMD, LLC","professional",2013,111,0,0,111,"Commercial"
"SuccessEHS","professional",2013,486,0,0,486,"Commercial"
"SuiteMed","professional",2013,779,0,0,779,"Commercial"
"Sunquest Information Systems, Inc.","professional",2013,2,0,0,2,"Commercial"
"SynaMed, LLC","professional",2013,25,0,0,25,"Commercial"
"Systemedx Inc","professional",2013,87,0,0,87,"Commercial"
"TactusMD, Inc.","professional",2013,10,0,0,10,"Commercial"
"TechSoft, Inc.","professional",2013,30,0,0,30,"Commercial"
"TenEleven Group","professional",2013,1,0,0,1,"Commercial"
"TheraManager LLC","professional",2013,3,0,0,3,"Commercial"
"TIMS INC","professional",2013,2,0,0,2,"Commercial"
"Total Outsource, Inc.","professional",2013,12,0,0,12,"Commercial"
"TracikaMed Inc","professional",2013,6,0,0,6,"Commercial"
"TransMed Network","professional",2013,42,0,0,42,"Commercial"
"TransMedic","professional",2013,8,0,0,8,"Commercial"
"Trellix Engineering Corp.","professional",2013,23,0,0,23,"Commercial"
"TRIARQ Practice Services","professional",2013,374,0,0,374,"Commercial"
"TriMed Technologies, Corp.","professional",2013,82,0,0,82,"Commercial"
"UAB Health System","professional",2013,440,0,0,440,"Self-developed"
"UC Charting Solutions, Inc.","professional",2013,6,0,0,6,"Commercial"
"Ulrich Medical Concepts, Inc.","professional",2013,37,0,0,37,"Commercial"
"UltraMed Software","professional",2013,25,0,0,25,"Commercial"
"UNC Health Care","professional",2013,579,0,0,579,"Self-developed"
"UNI/CARE Systems, Inc","professional",2013,2,0,0,2,"Commercial"
"Unifi Technologies","professional",2013,1,0,0,1,"Commercial"
"UnisonCare Corporation","professional",2013,49,0,0,49,"Commercial"
"Unityware","professional",2013,2,0,0,2,"Commercial"
"Universal EHR, Inc.","professional",2013,1,0,0,1,"Commercial"
"Universal EMR Solutions","professional",2013,49,0,0,49,"Commercial"
"Universal Research Solutions, LLC","professional",2013,95,0,0,95,"Commercial"
"US Oncology","professional",2013,27,0,0,27,"Commercial"
"User Friendly EMR","professional",2013,10,0,0,10,"Commercial"
"UT MD Anderson Cancer Center","professional",2013,798,0,0,798,"Self-developed"
"Valant Medical Solutions, Inc.","professional",2013,85,0,0,85,"Commercial"
"Vanderbilt University","professional",2013,501,0,0,501,"Self-developed"
"Varian Medical Systems","professional",2013,1057,0,0,1057,"Commercial"
"VeinDraw","professional",2013,12,0,0,12,"Commercial"
"Venus Medical Systems LLC","professional",2013,1,0,0,1,"Commercial"
"Vericle, Inc.","professional",2013,16,0,0,16,"Commercial"
"Verisma Systems Inc.","professional",2013,43,0,0,43,"Commercial"
"Versaform Systems Corp.","professional",2013,29,0,0,29,"Commercial"
"VersaSuite","professional",2013,31,0,0,31,"Commercial"
"Vinformatix, LLC","professional",2013,1,0,0,1,"Commercial"
"VIP Medicine, LLC","professional",2013,37,0,0,37,"Commercial"
"VIPA Health Solutions, LLC","professional",2013,34,0,0,34,"Commercial"
"Vision Infonet Inc","professional",2013,51,0,0,51,"Commercial"
"Visionary HealthWare, LLC","professional",2013,48,0,0,48,"Commercial"
"VitalHealth Software","professional",2013,1,0,0,1,"Commercial"
"Vitalz Technologies, LLC","professional",2013,113,0,0,113,"Commercial"
"Vitera Healthcare Solutions, LLC","professional",2013,3373,0,190,3183,"Commercial"
"Viztek, LLC","professional",2013,1,0,0,1,"Commercial"
"Vohra Wound Physicians Management, LLC","professional",2013,135,0,0,135,"Self-developed"
"Waiting Room Solutions","professional",2013,148,0,0,148,"Commercial"
"Wakan Vision Inc.","professional",2013,13,0,0,13,"Commercial"
"Webconsort LLC","professional",2013,6,0,0,6,"Commercial"
"WEBeDoctor, Inc.","professional",2013,33,0,0,33,"Commercial"
"Wellcentive, Inc.","professional",2013,1060,0,0,1060,"Commercial"
"Wellogic","professional",2013,72,0,0,72,"Commercial"
"Wellspan Health","professional",2013,230,0,1,229,"Self-developed"
"Westchester Digestive Disease Group LLP","professional",2013,4,0,0,4,"Self-developed"
"Williams Group","professional",2013,237,0,0,237,"Commercial"
"WonderDoc, LLC","professional",2013,1,0,1,0,"Commercial"
"Workflow.com, LLC","professional",2013,259,0,0,259,"Commercial"
"WorldVistA","professional",2013,6,0,0,6,"Commercial"
"WoundCareMD EHR, Inc.","professional",2013,4,0,0,4,"Commercial"
"WriteMD LLC","professional",2013,1,0,0,1,"Commercial"
"Xcite Health Corp.","professional",2013,14,0,0,14,"Commercial"
"XLEMR","professional",2013,5,0,0,5,"Commercial"
"Z&H Health Care Solutions, LLC","professional",2013,16,0,0,16,"Commercial"
"Zenith Technology Solutions, LLC","professional",2013,2,0,0,2,"Commercial"
"ZipChart, Inc.","professional",2013,2,0,0,2,"Commercial"
"3M Health Information Systems","professional",2014,2,0,0,2,"Commercial"
"4medica, Inc.","professional",2014,14,0,0,14,"Commercial"
"ABEL Medical Software, Inc.","professional",2014,13,0,0,13,"Commercial"
"Abeo Solutions, Inc","professional",2014,376,0,376,0,"Commercial"
"Abraxas Medical Solutions, Inc","professional",2014,43,0,0,43,"Commercial"
"Accelecare Wound Centers, Inc.","professional",2014,16,0,16,0,"Commercial"
"Acmeware, Inc.","professional",2014,32,0,32,0,"Commercial"
"ACOM Health, Division of ACOM Solutions, Inc.","professional",2014,744,0,11,733,"Commercial"
"Acrendo Software, Inc.","professional",2014,115,0,21,94,"Commercial"
"ACS State Healthcare, LLC","professional",2014,1,0,0,1,"Commercial"
"Acumen Physician Solutions","professional",2014,552,0,551,1,"Commercial"
"Acurus Solutions, Inc.","professional",2014,22,0,0,22,"Commercial"
"Adaptamed, LLC","professional",2014,46,0,46,0,"Commercial"
"Addison Health Systems, Inc.","professional",2014,403,0,0,403,"Commercial"
"ADS Technologies, Inc.","professional",2014,19,0,1,18,"Commercial"
"Advanced Data Systems Corporation","professional",2014,706,0,124,582,"Commercial"
"Advanced Health Management Systems, LLC","professional",2014,3,0,0,3,"Commercial"
"Advanced Provider Solutions, LLC","professional",2014,138,0,110,28,"Commercial"
"AdvancedMD","professional",2014,620,0,274,346,"Commercial"
"AdvantaChart Inc","professional",2014,9,0,1,8,"Commercial"
"Agastha, Inc.","professional",2014,29,0,6,23,"Commercial"
"ALERT Life Sciences Computing, S.A.","professional",2014,1,0,0,1,"Commercial"
"AllegianceMD Software, Inc.","professional",2014,127,0,69,58,"Commercial"
"AllMeds, Inc.","professional",2014,1010,0,52,958,"Commercial"
"Allscripts","professional",2014,32507,0,20960,11547,"Commercial"
"Alma Information Systems, Inc.","professional",2014,36,0,14,22,"Commercial"
"AltaPoint Data Systems","professional",2014,95,0,0,95,"Commercial"
"Alton Healthcare, LLC","professional",2014,11,0,0,11,"Commercial"
"Altos Solutions, Inc","professional",2014,778,0,0,778,"Commercial"
"Amazing Charts","professional",2014,2362,0,636,1726,"Commercial"
"American Medical Software","professional",2014,103,0,0,103,"Commercial"
"AmisHealth LLC","professional",2014,5,0,0,5,"Commercial"
"AntWorks Healthcare","professional",2014,91,0,52,39,"Commercial"
"AppMed Inc.","professional",2014,86,0,0,86,"Commercial"
"Aprima Medical Software, Inc.","professional",2014,1988,0,1127,861,"Commercial"
"ArcSys, Inc.","professional",2014,26,0,5,21,"Commercial"
"Arete Healthcare Services, LLC","professional",2014,49,0,0,49,"Commercial"
"Armaria Data Systems, LLC","professional",2014,5,0,0,5,"Commercial"
"Artemis Health Group","professional",2014,15,0,15,0,"Commercial"
"Askesis Development Group, Inc.","professional",2014,29,0,0,29,"Commercial"
"ASP.MD Inc.","professional",2014,11,0,0,11,"Commercial"
"AT&T","professional",2014,2,0,0,2,"Commercial"
"athenahealth, Inc.","professional",2014,10782,0,9481,1301,"Commercial"
"Atlantic Cape IT, LLC","professional",2014,3,0,0,3,"Commercial"
"Aurora Health Care, Inc.","professional",2014,953,0,953,0,"Self-developed"
"AutoMedSys, LLC","professional",2014,2,0,0,2,"Commercial"
"Avairis, Inc.","professional",2014,7,0,0,7,"Commercial"
"Avazen Health","professional",2014,2,0,0,2,"Commercial"
"Avreo, Inc.","professional",2014,64,0,0,64,"Commercial"
"Axolotl Corp","professional",2014,35,0,0,35,"Commercial"
"Azalea Health","professional",2014,15,0,4,11,"Commercial"
"BackChart","professional",2014,39,0,0,39,"Commercial"
"Bayview Physicians Group","professional",2014,115,0,0,115,"Self-developed"
"Beth Israel Deaconess Medical Center","professional",2014,577,0,350,227,"Self-developed"
"Binary Spectrum Pvt. Ltd.","professional",2014,1,0,0,1,"Commercial"
"BioMedix Vascular Solutions","professional",2014,1692,0,0,1692,"Commercial"
"Bizmatics Inc.","professional",2014,588,0,202,386,"Commercial"
"BJC Healthcare","professional",2014,192,0,192,0,"Self-developed"
"BlueFire Medical Software","professional",2014,1,0,0,1,"Commercial"
"Bogardus Medical Systems, Inc.","professional",2014,42,0,29,13,"Commercial"
"Bradoc Data Management Inc.","professional",2014,1,0,0,1,"Commercial"
"BuildYourEMR","professional",2014,11,0,11,0,"Commercial"
"BusinessOn, Inc.","professional",2014,1,0,0,1,"Commercial"
"Businet, LLC","professional",2014,77,0,0,77,"Commercial"
"CaduRx, Inc.","professional",2014,31,0,20,11,"Commercial"
"California Medical Systems","professional",2014,33,0,2,31,"Commercial"
"CareCloud Corporation","professional",2014,125,0,85,40,"Commercial"
"CareEvolution, Inc.","professional",2014,27,0,27,0,"Commercial"
"Carestream Health","professional",2014,22,0,0,22,"Commercial"
"Carol Emerson MD","professional",2014,12,0,0,12,"Commercial"
"Catalis, Inc.","professional",2014,16,0,0,16,"Commercial"
"Center for Diagnostic Imaging","professional",2014,70,0,0,70,"Self-developed"
"Cerner Corporation","professional",2014,12465,0,7389,5076,"Commercial"
"ChartLogic, Inc.","professional",2014,621,0,109,512,"Commercial"
"ChiroCloud LLC","professional",2014,26,0,0,26,"Commercial"
"ChoiceOne EHR Inc.","professional",2014,26,0,24,2,"Commercial"
"CitiusTech, Inc.","professional",2014,34,0,0,34,"Commercial"
"Claimat Inc.","professional",2014,6,0,0,6,"Commercial"
"Claimpower, Inc.","professional",2014,21,0,19,2,"Commercial"
"Clarkson Eyecare","professional",2014,94,0,0,94,"Self-developed"
"Claydata LLC","professional",2014,11,0,0,11,"Commercial"
"ClearHealth Inc.","professional",2014,2,0,0,2,"Commercial"
"ClearPractice","professional",2014,26,0,0,26,"Commercial"
"Clinic Service Corporation","professional",2014,1,0,0,1,"Commercial"
"ClinicMax, Inc.","professional",2014,4,0,3,1,"Commercial"
"Clinix MIS LLC","professional",2014,48,0,0,48,"Commercial"
"ClinixMD LLC","professional",2014,110,0,87,23,"Commercial"
"CodoniX","professional",2014,62,0,12,50,"Commercial"
"Colonial Valley Software, LLC","professional",2014,9,0,0,9,"Commercial"
"ComChart Medical Software, LLC","professional",2014,25,0,0,25,"Commercial"
"Complete Medical Solutions, LLC","professional",2014,19,0,1,18,"Commercial"
"CompuGroup Medical, Inc.","professional",2014,223,0,71,152,"Commercial"
"Compulink Business Systems, Inc.","professional",2014,2719,0,576,2143,"Commercial"
"Computer Systems Consultants, Inc.","professional",2014,2,0,0,2,"Commercial"
"Comtron Corp.","professional",2014,120,0,60,60,"Commercial"
"Connect(x) HealthWare LLC","professional",2014,1,0,0,1,"Commercial"
"Connexin Software, Inc.","professional",2014,4,0,4,0,"Commercial"
"Corepoint Health","professional",2014,5,0,5,0,"Commercial"
"Covisint","professional",2014,19,0,0,19,"Commercial"
"CPSI (Computer Programs and Systems), Inc.","professional",2014,141,0,109,32,"Commercial"
"Criterions, LLC","professional",2014,201,0,99,102,"Commercial"
"Crowell Systems","professional",2014,76,0,0,76,"Commercial"
"Crystal Practice Management","professional",2014,294,0,0,294,"Commercial"
"CureMD.com, Inc.","professional",2014,336,0,266,70,"Commercial"
"Custom Computing Corporation","professional",2014,12,0,0,12,"Commercial"
"Cybax Corporation","professional",2014,7,0,0,7,"Commercial"
"CyberMed Corporation","professional",2014,1,0,0,1,"Self-developed"
"Cybernius Medical Ltd.","professional",2014,10,0,0,10,"Commercial"
"Cyclops Vision Corporation","professional",2014,40,0,12,28,"Commercial"
"Cyfluent","professional",2014,45,0,33,12,"Commercial"
"Darena Solutions LLC","professional",2014,22,0,0,22,"Commercial"
"Data Strategies, Inc.","professional",2014,148,0,9,139,"Commercial"
"Data Tec, Inc.","professional",2014,31,0,0,31,"Commercial"
"DataGroup Technologies Inc.","professional",2014,2,0,0,2,"Commercial"
"Datatel Solutions, Inc.","professional",2014,6,0,0,6,"Commercial"
"DAW SYSTEMS, INC.","professional",2014,2,0,0,2,"Commercial"
"Dawkins Incorporated","professional",2014,4,0,0,4,"Commercial"
"dbMotion","professional",2014,89,0,0,89,"Commercial"
"DentiMax, LLC","professional",2014,1,0,0,1,"Commercial"
"Dexter Solutions Inc","professional",2014,39,0,0,39,"Commercial"
"digiChart, Inc.","professional",2014,265,0,6,259,"Commercial"
"DigiDMS, Inc.","professional",2014,82,0,56,26,"Commercial"
"Digital Data Resources, LLC","professional",2014,1,0,0,1,"Commercial"
"Digital Medical Solutions, Inc.","professional",2014,98,0,1,97,"Commercial"
"Dignity Health","professional",2014,440,0,0,440,"Commercial"
"Diversified Ophthalmics, Inc.","professional",2014,18,0,0,18,"Commercial"
"DNA Data Systems","professional",2014,45,0,0,45,"Commercial"
"Doc-tor.com","professional",2014,87,0,53,34,"Commercial"
"doc2MD, Inc.","professional",2014,7,0,0,7,"Commercial"
"DocComply","professional",2014,22,0,0,22,"Commercial"
"DocPatientNetwork","professional",2014,6,0,0,6,"Commercial"
"DocTalk LLC.","professional",2014,102,0,0,102,"Commercial"
"Doctor Office Management, Inc.","professional",2014,20,0,0,20,"Commercial"
"Doctorsoft Corporation","professional",2014,54,0,0,54,"Commercial"
"DoctorsPartner LLC","professional",2014,59,0,5,54,"Commercial"
"DocuTAP","professional",2014,295,0,74,221,"Commercial"
"DocuTrac, Inc.","professional",2014,3,0,0,3,"Commercial"
"Dox-Starwriter","professional",2014,31,0,0,31,"Commercial"
"DOX EMR","professional",2014,33,0,33,0,"Commercial"
"DR Systems, Inc.","professional",2014,2236,0,1860,376,"Commercial"
"drchrono Inc.","professional",2014,278,0,154,124,"Commercial"
"DrFirst","professional",2014,1181,0,808,373,"Commercial"
"DrScribe, Inc.","professional",2014,9,0,0,9,"Commercial"
"Dynamic Health IT, Inc","professional",2014,61,0,61,0,"Commercial"
"E-Health Partners, Inc.","professional",2014,6,0,0,6,"Commercial"
"E-Z BIS, Inc.","professional",2014,471,0,148,323,"Commercial"
"E*HealthLine.com, Inc.","professional",2014,4,0,0,4,"Commercial"
"Easy Billing Systems, Inc.","professional",2014,21,0,0,21,"Commercial"
"EBIO-METRONICS","professional",2014,10,0,0,10,"Commercial"
"eCast Corporation","professional",2014,21,0,0,21,"Commercial"
"eClinicalWorks, LLC","professional",2014,22581,0,15301,7280,"Commercial"
"eDerm Systems LLC","professional",2014,28,0,0,28,"Self-developed"
"EDImis, Inc.","professional",2014,7,0,0,7,"Commercial"
"eHealth Made EASY, LLC","professional",2014,3,0,0,3,"Commercial"
"eHealthFiles, Inc.","professional",2014,1,0,0,1,"Commercial"
"eHealthObjects, Inc.","professional",2014,1,0,0,1,"Commercial"
"EHRMagic, Inc.","professional",2014,6,0,0,6,"Commercial"
"Elation EMR, Inc.","professional",2014,71,0,63,8,"Commercial"
"Elekta - IMPAC Medical Systems, Inc.","professional",2014,1288,0,109,1179,"Commercial"
"Emdeon Corporation","professional",2014,23,0,2,21,"Commercial"
"eMDs","professional",2014,7158,0,2033,5125,"Commercial"
"eMed Solutions LLC","professional",2014,2,0,0,2,"Commercial"
"EMedicalNotes, LLC","professional",2014,99,0,0,99,"Commercial"
"eMedPractice LLC","professional",2014,29,0,21,8,"Commercial"
"Emory Healthcare","professional",2014,105,0,0,105,"Self-developed"
"Empower Systems","professional",2014,3,0,0,3,"Commercial"
"Empower Technologies, Inc.","professional",2014,19,0,0,19,"Commercial"
"EMRConnect","professional",2014,1286,0,1286,0,"Commercial"
"EMRgence, LLC","professional",2014,60,0,0,60,"Commercial"
"EMRlogic Systems, Inc.","professional",2014,190,0,1,189,"Commercial"
"Enable Healthcare Inc.","professional",2014,177,0,0,177,"Commercial"
"EnableDoc LLC","professional",2014,8,0,0,8,"Commercial"
"Encite, Inc.","professional",2014,268,0,0,268,"Commercial"
"EndoSoft, LLC","professional",2014,1,0,0,1,"Commercial"
"EnSoftek, Inc","professional",2014,3,0,0,3,"Commercial"
"EON Systems, Inc.","professional",2014,223,0,0,223,"Commercial"
"Epic Systems Corporation","professional",2014,69312,0,56939,12373,"Commercial"
"Epocrates, Inc.","professional",2014,1,0,0,1,"Commercial"
"Eprosystem Inc.","professional",2014,10,0,0,10,"Commercial"
"Equicare Health Incorporated","professional",2014,13,0,0,13,"Commercial"
"eRAD, Inc.","professional",2014,368,0,341,27,"Commercial"
"eScribe EMR Solutions","professional",2014,71,0,0,71,"Commercial"
"Estuary Electronic Health Records","professional",2014,1,0,0,1,"Commercial"
"Etransmedia Technology, Inc.","professional",2014,1,0,0,1,"Commercial"
"Exemplo Medical, LLC","professional",2014,33,0,5,28,"Commercial"
"ExitCare, LLC","professional",2014,12,0,0,12,"Commercial"
"Exscribe, Inc.","professional",2014,357,0,15,342,"Commercial"
"Eyecom3 / HealthLine Systems, Inc.","professional",2014,21,0,1,20,"Commercial"
"Eyefinity, Inc.","professional",2014,4153,0,979,3174,"Commercial"
"EyeMD EMR Healthcare Systems","professional",2014,452,0,1,451,"Commercial"
"EZ Healthcare Inc.","professional",2014,15,0,0,15,"Commercial"
"EZ Notes Inc.","professional",2014,299,0,1,298,"Commercial"
"EZDERM, LLC","professional",2014,8,0,0,8,"Commercial"
"ezEMRx Inc","professional",2014,14,0,11,3,"Commercial"
"FairWarning Technologies, Inc.","professional",2014,996,0,628,368,"Commercial"
"Falcon, LLC.","professional",2014,449,0,362,87,"Commercial"
"Fanno Creek Clinic","professional",2014,13,0,0,13,"Self-developed"
"First Insight Corporation","professional",2014,779,0,549,230,"Commercial"
"FlagShipMD LLC","professional",2014,7,0,0,7,"Commercial"
"Flatiron Health, Inc.","professional",2014,273,0,4,269,"Commercial"
"Florida Heart & Vascular Multi Specialty Group","professional",2014,22,0,17,5,"Self-developed"
"Forte Holdings","professional",2014,306,0,2,304,"Commercial"
"FUJIFILM Medical Systems USA, Inc.","professional",2014,129,0,0,129,"Commercial"
"Future Health","professional",2014,238,0,0,238,"Commercial"
"GE Healthcare","professional",2014,16629,0,3185,13444,"Commercial"
"GeeseMed Inc.","professional",2014,2,0,0,2,"Commercial"
"GEMMS","professional",2014,781,0,439,342,"Commercial"
"Genensys LLC","professional",2014,3,0,0,3,"Commercial"
"Genesis Primary Care EMR","professional",2014,5,0,0,5,"Commercial"
"Genius Solutions Inc.","professional",2014,103,0,70,33,"Commercial"
"GeniusDoc, Inc.","professional",2014,113,0,0,113,"Commercial"
"Genix Technology Inc.","professional",2014,1,0,1,0,"Commercial"
"Geriatric Practice Management","professional",2014,4,0,4,0,"Commercial"
"Get Real Health","professional",2014,371,0,280,91,"Commercial"
"Glenwood Systems LLC","professional",2014,201,0,108,93,"Commercial"
"Global Record Systems, LLC","professional",2014,5,0,0,5,"Commercial"
"GlobalOne Information Technologies, LLC","professional",2014,7,0,0,7,"Commercial"
"gMed, Inc.","professional",2014,1249,0,992,257,"Commercial"
"Goldblatt Systems","professional",2014,3,0,0,3,"Commercial"
"Green Clinical Systems Inc.","professional",2014,1,0,0,1,"Commercial"
"Greenway Health, LLC","professional",2014,7136,0,2203,4933,"Commercial"
"H-DOX","professional",2014,38,0,0,38,"Commercial"
"Havenridge Consulting, LLC","professional",2014,221,0,4,217,"Commercial"
"HCA Information Technology & Services, Inc.","professional",2014,89,0,0,89,"Self-developed"
"HCA Physician Services","professional",2014,928,0,928,0,"Self-developed"
"Health Administration Systems, Inc.","professional",2014,24,0,0,24,"Commercial"
"Health Care 2000, Inc.","professional",2014,20,0,3,17,"Commercial"
"Health Care Intranet Technologies (HCIT)","professional",2014,23,0,0,23,"Commercial"
"Health Communication Systems, LLC","professional",2014,1,0,0,1,"Commercial"
"Health Data Services, Inc.","professional",2014,2,0,0,2,"Commercial"
"Health Gorilla, Inc.","professional",2014,3,0,3,0,"Commercial"
"Health Innovation Technologies, Inc.","professional",2014,1019,0,655,364,"Commercial"
"Health IT Services Group","professional",2014,379,0,0,379,"Commercial"
"Health One Alliance","professional",2014,5,0,0,5,"Commercial"
"Health Systems Technology, Inc.","professional",2014,56,0,20,36,"Commercial"
"Healthcare Management Systems, Inc.","professional",2014,1,0,0,1,"Commercial"
"HEALTHeSTATE, LLC","professional",2014,1,0,0,1,"Commercial"
"HealthFusion","professional",2014,806,0,509,297,"Commercial"
"Healthjump, Inc.","professional",2014,19,0,19,0,"Commercial"
"Healthland","professional",2014,113,0,50,63,"Commercial"
"HealthLine Systems Inc./Eyecom","professional",2014,6,0,6,0,"Commercial"
"HealthPort","professional",2014,390,0,0,390,"Commercial"
"HealthTec Software Inc","professional",2014,4,0,0,4,"Commercial"
"Healthwise, Incorporated","professional",2014,19,0,19,0,"Commercial"
"Hello Health","professional",2014,28,0,14,14,"Commercial"
"Henry Schein Medical Systems","professional",2014,431,0,192,239,"Commercial"
"Henry Schein Practice Solutions, Inc.","professional",2014,25,0,8,17,"Commercial"
"Herfert Software, Inc.","professional",2014,35,0,0,35,"Commercial"
"HHT International Consulting, Inc. DBA MDFlow Systems","professional",2014,10,0,0,10,"Commercial"
"Holt Systems, Inc.","professional",2014,44,0,0,44,"Commercial"
"Horizon Medical World LLC","professional",2014,2,0,0,2,"Commercial"
